MaKhachHang,TenKhachHang,Vung,LoaiKhach,NgayBatDauGiaoDich,HanMucCongNo
KH0001,Công ty Cổ phần Dịch vụ Hoàng Gia,Miền Bắc,Sỉ,2023-09-03 08:50:31,821000000.0
KH0002,Công ty TNHH MTV Thực phẩm Hưng Thịnh,Miền Nam,Sỉ,2023-04-20 07:24:11,5958000000.0
KH0003,Lê Xuân Việt,Miền Trung,Lẻ,2023-07-06 23:32:45,18000000.0
KH0004,Công ty Cổ phần Phân phối An Khang,Miền Bắc,Sỉ,2022-10-21 16:22:34,650000000.0
KH0005,Công ty TNHH Xuất nhập khẩu Toàn Cầu,Miền Nam,Sỉ,2023-08-16 03:21:59,200000000.0
KH0006,Công ty TNHH MTV Thực phẩm Việt Thắng,Miền Nam,Sỉ,2024-02-01 06:56:06,200000000.0
KH0007,Doanh nghiệp tư nhân Thương mại An Khang,Miền Nam,Sỉ,2022-09-23 09:46:27,200000000.0
KH0008,Doanh nghiệp tư nhân Xuất nhập khẩu Thành Đạt,Miền Nam,Sỉ,2023-08-23 22:01:34,2111000000.0
KH0009,Dương Bích Nga,Miền Trung,Lẻ,2024-04-10 01:26:23,11000000.0
KH0010,Doanh nghiệp tư nhân Thương mại Thiên Phú,Miền Bắc,Sỉ,2022-10-15 06:51:02,1675000000.0
KH0011,Công ty TNHH MTV Xuất nhập khẩu Toàn Cầu,Miền Nam,Sỉ,2024-03-25 20:20:49,200000000.0
KH0012,Công ty Cổ phần Xuất nhập khẩu Kim Long,Miền Bắc,Sỉ,2023-03-12 17:27:15,7852000000.0
KH0013,Công ty TNHH MTV Xuất nhập khẩu Tân Phát,Miền Bắc,Sỉ,2023-03-03 12:07:22,1091000000.0
KH0014,Công ty TNHH Xuất nhập khẩu Hoàng Gia,Miền Nam,Sỉ,2023-06-08 00:33:29,200000000.0
KH0015,Doanh nghiệp tư nhân Phân phối Việt Phát,Miền Nam,Sỉ,2023-03-06 06:55:06,216000000.0
KH0016,Doanh nghiệp tư nhân Xây dựng Thành Đạt,Miền Bắc,Sỉ,2022-11-30 17:26:13,481000000.0
KH0017,Lý Văn Bình,Miền Bắc,Lẻ,2023-04-07 22:00:20,13000000.0
KH0018,Doanh nghiệp tư nhân Xây dựng Việt Thắng,Miền Bắc,Sỉ,2024-07-22 07:26:45,1071000000.0
KH0019,Lê Xuân Khánh,Miền Trung,Lẻ,2023-09-12 08:42:49,5000000.0
KH0020,Phạm Ngọc Hải,Miền Trung,Lẻ,2024-02-18 11:42:34,5000000.0
KH0021,Doanh nghiệp tư nhân Dịch vụ Toàn Cầu,Miền Trung,Sỉ,2023-05-18 13:51:34,805000000.0
KH0022,Công ty TNHH MTV Thương mại Tân Phát,Miền Bắc,Sỉ,2023-11-22 19:25:46,200000000.0
KH0023,Nguyễn Thị Mai,Miền Trung,Lẻ,2024-05-27 13:04:48,6000000.0
KH0024,Phạm Diễm Anh,Miền Nam,Lẻ,2023-06-13 09:31:23,5000000.0
KH0025,Ngô Công Dũng,Miền Bắc,Lẻ,2023-08-05 18:40:15,5000000.0
KH0026,Công ty TNHH Thực phẩm Đại Dương,Miền Trung,Sỉ,2023-12-24 16:58:00,1246000000.0
KH0027,Công ty Cổ phần Xây dựng Tân Phát,Miền Nam,Sỉ,2022-11-10 17:05:37,340000000.0
KH0028,Bùi Công Nam,Miền Nam,Lẻ,2023-06-25 07:23:44,5000000.0
KH0029,Công ty TNHH MTV Dịch vụ Việt Phát,Miền Trung,Sỉ,2023-08-16 11:23:35,729000000.0
KH0030,Công ty TNHH Xây dựng Tân Á,Miền Nam,Sỉ,2023-09-29 01:39:52,200000000.0
KH0031,Trần Thu Thảo,Miền Nam,Lẻ,2024-02-29 08:03:22,12000000.0
KH0032,Doanh nghiệp tư nhân Xuất nhập khẩu An Khang,Miền Bắc,Sỉ,2022-12-29 00:35:25,232000000.0
KH0033,Trần Diễm Lan,Miền Nam,Lẻ,2023-04-26 20:08:43,5000000.0
KH0034,Trần Thu Trang,Miền Bắc,Lẻ,2024-03-22 21:05:09,35000000.0
KH0035,Đặng Bích Huyền,Miền Nam,Lẻ,2023-10-03 10:44:51,107000000.0
KH0036,Công ty TNHH Dịch vụ Toàn Cầu,Miền Bắc,Sỉ,2023-01-05 07:08:35,935000000.0
KH0037,Bùi Ngọc An,Miền Nam,Lẻ,2023-07-05 08:22:29,5000000.0
KH0038,Doanh nghiệp tư nhân Xuất nhập khẩu Minh Phát,Miền Trung,Sỉ,2023-08-25 20:44:43,200000000.0
KH0039,Phan Diễm Nhung,Miền Nam,Lẻ,2023-04-10 18:10:44,12000000.0
KH0040,Công ty Cổ phần Xuất nhập khẩu Việt Phát,Miền Trung,Sỉ,2024-02-16 23:50:00,640000000.0
KH0041,Đỗ Diễm Linh,Miền Nam,Lẻ,2024-07-03 12:17:25,5000000.0
KH0042,Đặng Bích Huyền,Miền Trung,Lẻ,2023-04-22 17:47:24,7000000.0
KH0043,Doanh nghiệp tư nhân Xuất nhập khẩu Toàn Cầu,Miền Trung,Sỉ,2024-05-20 17:51:43,200000000.0
KH0044,Công ty TNHH MTV Dịch vụ Kim Long,Miền Bắc,Sỉ,2023-11-16 06:07:30,2714000000.0
KH0045,Công ty TNHH Dịch vụ Việt Thắng,Miền Trung,Sỉ,2023-07-28 06:09:45,323000000.0
KH0046,Công ty Cổ phần Xuất nhập khẩu Đông Á,Miền Nam,Sỉ,2022-12-23 19:53:56,906000000.0
KH0047,Huỳnh Ngọc Cường,Miền Trung,Lẻ,2023-12-15 06:42:03,10000000.0
