MaNhanVien,TenNhanVien,KhuVucPhuTrach,ChucVu,NgayVaoLam
NV01,Ngô Thu Yến,Miền Nam,Nhân viên Kinh doanh,2024-06-14 04:23:19
NV02,Trần Bích Nga,Miền Nam,Nhân viên Kinh doanh,2024-04-13 08:15:16
NV03,Phạm Kim Huyền,Miền Trung,Senior Sales,2023-12-10 23:46:01
NV04,Võ Quốc Khánh,Miền Trung,Giám sát Kinh doanh,2024-03-23 21:55:44
NV05,Phan Thị Hoa,Miền Trung,Trưởng nhóm Kinh doanh,2024-06-12 00:24:58
NV06,Võ Thị Hương,Miền Trung,Trưởng nhóm Kinh doanh,2023-08-16 23:01:02
NV07,Lê Ngọc Hoa,Miền Trung,Giám sát Kinh doanh,2022-12-01 01:58:14
NV08,Vũ Văn Sơn,Miền Bắc,Giám sát Kinh doanh,2022-09-13 19:05:31
NV09,Bùi Diễm Nhung,Miền Nam,Trưởng nhóm Kinh doanh,2021-12-17 11:37:33
NV10,Võ Bích Linh,Miền Bắc,Trưởng nhóm Kinh doanh,2023-05-11 20:34:04
NV11,Nguyễn Hữu An,Miền Trung,Giám sát Kinh doanh,2022-04-07 11:53:58
NV12,Lý Diễm Nhung,Miền Nam,Giám sát Kinh doanh,2023-04-03 08:02:20
NV13,Lý Thị Nhung,Miền Bắc,Nhân viên Kinh doanh,2022-04-10 01:50:21
NV14,Ngô Thu Phương,Miền Nam,Senior Sales,2023-09-25 14:18:15
NV15,Đỗ Kim Mai,Miền Bắc,Trưởng nhóm Kinh doanh,2024-07-26 16:13:27
NV16,Ngô Bích Linh,Miền Trung,Nhân viên Kinh doanh,2023-12-15 21:40:05
NV17,Võ Hữu Đạt,Miền Bắc,Giám sát Kinh doanh,2023-06-17 18:22:35
NV18,Hoàng Công Phong,Miền Trung,Senior Sales,2022-02-05 08:05:09
NV19,Trần Công Phong,Miền Bắc,Trưởng nhóm Kinh doanh,2023-01-21 10:33:02
NV20,Phan Công Sơn,Miền Bắc,Senior Sales,2024-01-19 14:21:24
NV21,Bùi Bích Yến,Miền Trung,Nhân viên Kinh doanh,2022-04-05 04:48:46
NV22,Võ Hữu Hải,Miền Bắc,Giám sát Kinh doanh,2022-10-15 03:00:19
NV23,Bùi Diễm Nhung,Miền Nam,Nhân viên Kinh doanh,2023-03-07 20:48:19
NV24,Đỗ Thị Hương,Miền Trung,Senior Sales,2023-12-08 01:47:43
NV25,Ngô Xuân Phong,Miền Nam,Nhân viên Kinh doanh,2023-05-20 14:32:02
NV26,Huỳnh Bích Thảo,Miền Nam,Nhân viên Kinh doanh,2022-07-31 03:05:51
NV27,Vũ Thu Phương,Miền Nam,Giám sát Kinh doanh,2022-12-18 18:16:14
NV28,Huỳnh Kim Huyền,Miền Nam,Giám sát Kinh doanh,2023-01-23 04:44:48
NV29,Bùi Ngọc Sơn,Miền Nam,Senior Sales,2023-12-25 04:54:37
NV30,Phạm Ngọc Nga,Miền Bắc,Senior Sales,2023-03-12 20:21:48
