MaKhachHang,TenKhachHang,NhomKH
KH0408,Công ty TNHH Thương mại Phú Gia,VIP
KH0445,Huỳnh Bích Phương,Thân thiết
KH0118,Công ty TNHH MTV Thực phẩm Sao Việt,Mới
KH0031,Trần Thu Thảo,VIP
KH0416,Phạm Đức Khánh,Tiềm năng
KH0158,Công ty TNHH MTV Xuất nhập khẩu Tân Á,Mới
KH0326,Phạm Hữu Đạt,VIP
KH0448,Bùi Xuân Sơn,Tiềm năng
KH0269,Ngô Hữu Phong,VIP
KH0298,Đặng Thị Linh,Tiềm năng
KH0132,Doanh nghiệp tư nhân Xuất nhập khẩu Đại Dương,Tiềm năng
KH0431,Công ty TNHH Xuất nhập khẩu Đại Dương,Thân thiết
KH0071,Công ty TNHH Xuất nhập khẩu Tân Phát,Tiềm năng
KH0141,Bùi Kim Phương,VIP
KH0317,Ngô Thu Anh,Thường
KH0125,Doanh nghiệp tư nhân Xây dựng Việt Thắng,Thường
KH0232,Công ty Cổ phần Xây dựng Tân Phát,Thường
KH0056,Hoàng Thu Nhung,Mới
KH0077,Dương Kim Linh,Thường
KH0040,Công ty Cổ phần Xuất nhập khẩu Việt Phát,Thân thiết
KH0074,Phạm Xuân Sơn,Thường
KH0079,Ngô Công Hùng,Tiềm năng
KH0424,Công ty TNHH MTV Xây dựng Việt Phát,Tiềm năng
KH0010,Doanh nghiệp tư nhân Thương mại Thiên Phú,VIP
KH0114,Đỗ Văn Phong,VIP
KH0425,Vũ Kim Nhung,Thân thiết
KH0397,Trần Ngọc Cường,Tiềm năng
KH0287,Công ty TNHH MTV Phân phối Hưng Thịnh,Thường
KH0138,Trần Quốc Khánh,Thân thiết
KH0211,Công ty TNHH Thương mại Tân Phát,Tiềm năng
KH0248,Doanh nghiệp tư nhân Xuất nhập khẩu Sao Việt,Thường
KH0335,Doanh nghiệp tư nhân Phân phối Việt Thắng,Tiềm năng
KH0339,Công ty TNHH MTV Xây dựng Toàn Cầu,Tiềm năng
KH0117,Bùi Kim Yến,Thân thiết
KH0076,Doanh nghiệp tư nhân Xuất nhập khẩu Tân Á,Tiềm năng
KH0355,Ngô Thu Mai,Mới
KH0396,Đặng Ngọc Tuấn,Mới
KH0438,Phan Ngọc Phong,VIP
KH0078,Công ty TNHH Thực phẩm Minh Phát,Thường
KH0446,Doanh nghiệp tư nhân Phân phối Tân Á,Thường
KH0442,Vũ Ngọc Thảo,Thường
KH0154,Công ty TNHH MTV Phân phối Thành Đạt,VIP
KH0073,Lê Quốc Bình,Mới
KH0226,Công ty TNHH Phân phối Thiên Phú,Thân thiết
KH0400,Công ty Cổ phần Dịch vụ Việt Phát,Tiềm năng
KH0356,Công ty TNHH Phân phối Hoàng Gia,Thường
KH0223,Bùi Đức Tuấn,Thân thiết
KH0186,Vũ Công Phong,Thường
KH0399,Võ Thị Hoa,Thường
KH0080,Bùi Công Cường,Mới
KH0034,Trần Thu Trang,Thân thiết
KH0181,Bùi Văn Sơn,Thường
KH0311,Công ty Cổ phần Xuất nhập khẩu Tân Á,VIP
KH0083,Hoàng Quốc Việt,Tiềm năng
KH0357,Công ty TNHH MTV Thương mại Thiên Phú,Thân thiết
KH0012,Công ty Cổ phần Xuất nhập khẩu Kim Long,Thân thiết
KH0395,Võ Xuân Đạt,Thân thiết
KH0016,Doanh nghiệp tư nhân Xây dựng Thành Đạt,Thường
KH0102,Bùi Đức Khánh,Mới
KH0212,Doanh nghiệp tư nhân Xuất nhập khẩu Minh Phát,Thường
KH0001,Công ty Cổ phần Dịch vụ Hoàng Gia,Tiềm năng
KH0020,Phạm Ngọc Hải,Thân thiết
KH0288,Công ty Cổ phần Thương mại Kim Long,Tiềm năng
KH0297,Lý Xuân Cường,Tiềm năng
KH0057,Võ Kim Yến,Thường
KH0354,Doanh nghiệp tư nhân Dịch vụ Phú Gia,Tiềm năng
KH0449,Công ty TNHH MTV Phân phối Thành Đạt,VIP
KH0363,Đặng Ngọc Phương,Tiềm năng
KH0292,Công ty TNHH MTV Phân phối Phú Gia,Thân thiết
KH0091,Doanh nghiệp tư nhân Phân phối Tân Á,Tiềm năng
KH0382,Doanh nghiệp tư nhân Xây dựng Tân Á,Mới
KH0026,Công ty TNHH Thực phẩm Đại Dương,VIP
KH0279,Ngô Văn Khánh,VIP
KH0204,Công ty TNHH Xây dựng Thành Đạt,Thường
KH0441,Nguyễn Ngọc Hải,Mới
KH0043,Doanh nghiệp tư nhân Xuất nhập khẩu Toàn Cầu,VIP
KH0176,Công ty Cổ phần Xây dựng Đông Á,Tiềm năng
KH0094,Công ty TNHH Xuất nhập khẩu Hoàng Gia,Thường
KH0387,Đỗ Quốc Hùng,VIP
KH0182,Công ty TNHH MTV Thực phẩm Kim Long,Tiềm năng
KH0133,Doanh nghiệp tư nhân Thương mại Đại Dương,Tiềm năng
KH0290,Võ Thu Mai,Thân thiết
KH0023,Nguyễn Thị Mai,Thường
KH0047,Huỳnh Ngọc Cường,Tiềm năng
KH0205,Công ty TNHH MTV Xây dựng Hoàng Gia,Thân thiết
KH0378,Võ Ngọc Tuấn,VIP
KH0372,Công ty TNHH Xây dựng Việt Thắng,Tiềm năng
KH0313,Công ty Cổ phần Dịch vụ Tân Phát,Mới
KH0058,Công ty TNHH MTV Dịch vụ Việt Thắng,Thân thiết
KH0166,Đặng Đức Tuấn,VIP
KH0025,Ngô Công Dũng,Mới
KH0018,Doanh nghiệp tư nhân Xây dựng Việt Thắng,Tiềm năng
KH0067,Doanh nghiệp tư nhân Thương mại Thành Đạt,Thân thiết
KH0149,Doanh nghiệp tư nhân Thực phẩm Việt Phát,VIP
KH0250,Phan Minh Phong,Thường
KH0032,Doanh nghiệp tư nhân Xuất nhập khẩu An Khang,Thân thiết
KH0085,Công ty TNHH Phân phối Kim Long,Thân thiết
KH0308,Công ty Cổ phần Thực phẩm Đông Á,Thường
KH0407,Công ty TNHH MTV Thực phẩm Phú Gia,VIP
KH0390,Trần Ngọc Lan,Tiềm năng
KH0272,Lê Đức Sơn,Thường
KH0095,Công ty TNHH MTV Thương mại Hưng Thịnh,Mới
KH0394,Phan Diễm Nhung,Thân thiết
KH0300,Công ty Cổ phần Phân phối Hưng Thịnh,Thường
KH0177,Dương Thu Hoa,VIP
KH0249,Phạm Thị Mai,Thân thiết
KH0193,Dương Ngọc Phong,Tiềm năng
KH0105,Doanh nghiệp tư nhân Thương mại Hoàng Gia,Mới
KH0375,Công ty TNHH Thực phẩm Đại Dương,VIP
KH0006,Công ty TNHH MTV Thực phẩm Việt Thắng,Thường
KH0046,Công ty Cổ phần Xuất nhập khẩu Đông Á,VIP
KH0352,Công ty Cổ phần Thương mại Hoàng Gia,Tiềm năng
KH0306,Dương Bích Huyền,Thân thiết
KH0398,Công ty Cổ phần Xây dựng Toàn Cầu,Thường
KH0282,Dương Hữu Sơn,Tiềm năng
KH0017,Lý Văn Bình,VIP
KH0417,Công ty TNHH MTV Phân phối Thiên Phú,Thân thiết
KH0127,Võ Kim Nhung,Thân thiết
KH0321,Công ty Cổ phần Xuất nhập khẩu Hưng Thịnh,Mới
KH0004,Công ty Cổ phần Phân phối An Khang,Thường
KH0019,Lê Xuân Khánh,Mới
KH0174,Doanh nghiệp tư nhân Dịch vụ Hoàng Gia,Mới
KH0061,Công ty Cổ phần Xây dựng An Khang,Tiềm năng
KH0219,Dương Minh Dũng,Mới
KH0228,Công ty TNHH MTV Phân phối Minh Phát,Thường
KH0325,Phạm Hữu Khánh,Thân thiết
KH0064,Phạm Quốc An,VIP
KH0111,Công ty TNHH MTV Thực phẩm Đại Dương,Mới
KH0285,Phạm Minh Phong,Thân thiết
KH0221,Doanh nghiệp tư nhân Phân phối Minh Phát,Thường
KH0030,Công ty TNHH Xây dựng Tân Á,Mới
KH0299,Doanh nghiệp tư nhân Phân phối Hoàng Gia,Mới
KH0286,Lê Kim Hoa,Thường
KH0027,Công ty Cổ phần Xây dựng Tân Phát,Thường
KH0008,Doanh nghiệp tư nhân Xuất nhập khẩu Thành Đạt,Thường
KH0410,Doanh nghiệp tư nhân Thực phẩm Thành Đạt,VIP
KH0109,Phạm Bích Huyền,Thường
KH0230,Dương Thị Linh,Mới
KH0421,Công ty TNHH Thương mại Tân Á,Thân thiết
KH0119,Doanh nghiệp tư nhân Xuất nhập khẩu Tân Phát,Mới
KH0115,Doanh nghiệp tư nhân Thương mại Kim Long,Thường
KH0432,Lý Ngọc Hải,Thân thiết
KH0156,Công ty TNHH Xuất nhập khẩu Thiên Phú,Tiềm năng
KH0333,Trần Ngọc Linh,Mới
KH0343,Bùi Ngọc Hùng,VIP
KH0155,Doanh nghiệp tư nhân Dịch vụ Việt Phát,VIP
KH0173,Võ Ngọc Linh,Tiềm năng
KH0402,Huỳnh Bích Linh,Mới
KH0142,Công ty TNHH Thực phẩm Hưng Thịnh,Thường
KH0401,Công ty Cổ phần Dịch vụ Kim Long,Thân thiết
KH0419,Võ Công Nam,VIP
KH0169,Công ty TNHH MTV Phân phối Đại Dương,Mới
KH0247,Hoàng Xuân Nam,VIP
KH0110,Vũ Thị Lan,Thường
KH0200,Công ty Cổ phần Xây dựng Hoàng Gia,Thường
KH0146,Lê Thị Anh,Tiềm năng
KH0366,Doanh nghiệp tư nhân Thực phẩm Toàn Cầu,Tiềm năng
KH0153,Phạm Quốc Nam,Thân thiết
KH0411,Doanh nghiệp tư nhân Phân phối Tân Á,Thân thiết
KH0194,Công ty TNHH MTV Thương mại Đông Á,Thân thiết
KH0084,Công ty TNHH MTV Phân phối Việt Thắng,Mới
KH0197,Công ty TNHH Thương mại Hoàng Gia,Mới
KH0235,Công ty Cổ phần Xuất nhập khẩu Thành Đạt,Tiềm năng
KH0075,Công ty Cổ phần Thực phẩm Đông Á,Tiềm năng
KH0406,Đặng Ngọc Hương,Thân thiết
KH0359,Lý Thu Hương,Thường
KH0371,Võ Diễm Hương,VIP
KH0120,Phạm Đức Long,Mới
KH0251,Công ty TNHH MTV Thương mại Kim Long,VIP
KH0267,Trần Quốc Việt,Tiềm năng
KH0384,Lê Kim Hương,Tiềm năng
KH0318,Doanh nghiệp tư nhân Dịch vụ Minh Phát,Mới
KH0263,Phan Ngọc Cường,Thường
KH0312,Ngô Kim Lan,VIP
KH0444,Lê Quốc Sơn,Mới
KH0392,Công ty TNHH MTV Xuất nhập khẩu Đại Dương,Thân thiết
KH0350,Đỗ Kim Anh,Mới
KH0037,Bùi Ngọc An,Tiềm năng
KH0140,Dương Xuân Khánh,VIP
KH0439,Công ty TNHH MTV Xây dựng An Khang,Thường
KH0196,Dương Công Tuấn,Tiềm năng
KH0254,Lê Thu Mai,Thân thiết
KH0422,Doanh nghiệp tư nhân Thực phẩm Toàn Cầu,Thường
KH0060,Công ty Cổ phần Dịch vụ Minh Phát,Tiềm năng
KH0112,Lý Minh Bình,Tiềm năng
KH0209,Công ty TNHH Xuất nhập khẩu Kim Long,Thường
KH0303,Công ty Cổ phần Xây dựng Hoàng Gia,Mới
KH0007,Doanh nghiệp tư nhân Thương mại An Khang,VIP
KH0324,Doanh nghiệp tư nhân Thực phẩm Thiên Phú,VIP
KH0376,Bùi Ngọc Khánh,Mới
KH0159,Công ty Cổ phần Xuất nhập khẩu Tân Phát,Tiềm năng
KH0151,Doanh nghiệp tư nhân Thực phẩm Kim Long,VIP
KH0178,Ngô Quốc Phong,Thường
KH0185,Trần Văn Hùng,VIP
KH0011,Công ty TNHH MTV Xuất nhập khẩu Toàn Cầu,Mới
KH0246,Công ty TNHH Phân phối Hưng Thịnh,VIP
KH0104,Doanh nghiệp tư nhân Thực phẩm Phú Gia,Tiềm năng
KH0082,Doanh nghiệp tư nhân Phân phối Tân Phát,Tiềm năng
KH0039,Phan Diễm Nhung,Thường
KH0281,Công ty TNHH Thương mại Thiên Phú,Thân thiết
KH0168,Công ty TNHH MTV Xuất nhập khẩu Phú Gia,Thân thiết
KH0423,Công ty Cổ phần Xây dựng Hoàng Gia,Thường
KH0337,Võ Công Việt,Thường
KH0199,Trần Bích Lan,Mới
KH0393,Đặng Thị Linh,VIP
KH0362,Doanh nghiệp tư nhân Thương mại Toàn Cầu,Mới
KH0210,Đặng Quốc Nam,Thân thiết
KH0195,Hoàng Hữu Đạt,Thân thiết
KH0090,Công ty TNHH MTV Xuất nhập khẩu Minh Phát,Thường
KH0245,Trần Ngọc Hương,Thường
KH0164,Doanh nghiệp tư nhân Dịch vụ Kim Long,Mới
KH0240,Công ty TNHH Xây dựng Thành Đạt,Thường
KH0148,Huỳnh Công Phong,Mới
KH0003,Lê Xuân Việt,Mới
KH0093,Doanh nghiệp tư nhân Xuất nhập khẩu Hưng Thịnh,VIP
KH0361,Võ Hữu Việt,Tiềm năng
KH0070,Công ty TNHH MTV Xuất nhập khẩu Minh Phát,Thường
KH0256,Doanh nghiệp tư nhân Xây dựng Đại Dương,Mới
KH0124,Dương Quốc Đạt,Thường
KH0332,Công ty Cổ phần Thực phẩm Toàn Cầu,Mới
KH0097,Công ty TNHH MTV Thực phẩm Phú Gia,Tiềm năng
KH0144,Phạm Kim Hoa,VIP
KH0341,Công ty TNHH MTV Thương mại Thành Đạt,Tiềm năng
KH0322,Lý Minh Khánh,Mới
KH0238,Lý Văn Cường,Thường
KH0098,Ngô Kim Phương,Thường
KH0276,Công ty TNHH MTV Phân phối Hoàng Gia,Thân thiết
KH0069,Công ty TNHH MTV Xây dựng Phú Gia,Thường
KH0024,Phạm Diễm Anh,Tiềm năng
KH0038,Doanh nghiệp tư nhân Xuất nhập khẩu Minh Phát,VIP
KH0145,Ngô Thị Nhung,VIP
KH0123,Huỳnh Bích Linh,Mới
KH0184,Công ty TNHH MTV Phân phối Toàn Cầu,Thân thiết
KH0203,Công ty TNHH MTV Xây dựng Minh Phát,Mới
KH0183,Công ty TNHH Phân phối Việt Thắng,Thân thiết
KH0068,Đặng Minh Nam,Thường
KH0239,Công ty Cổ phần Thực phẩm Đông Á,VIP
KH0273,Công ty Cổ phần Phân phối Hưng Thịnh,Thường
KH0266,Phạm Xuân Phong,VIP
KH0315,Doanh nghiệp tư nhân Dịch vụ Đông Á,Mới
KH0330,Doanh nghiệp tư nhân Thực phẩm Thành Đạt,VIP
KH0358,Phan Diễm Nhung,Mới
KH0420,Trần Công Cường,Thường
KH0126,Doanh nghiệp tư nhân Dịch vụ Hoàng Gia,Mới
KH0147,Huỳnh Thu Mai,Thân thiết
KH0348,Dương Kim Yến,Thường
KH0370,Trần Kim Mai,Thường
KH0224,Doanh nghiệp tư nhân Thương mại Hưng Thịnh,VIP
KH0229,Doanh nghiệp tư nhân Dịch vụ Toàn Cầu,Tiềm năng
KH0087,Trần Diễm Hương,Tiềm năng
KH0379,Hoàng Hữu An,Mới
KH0220,Phan Minh Long,Thân thiết
KH0130,Công ty Cổ phần Xuất nhập khẩu Phú Gia,Thân thiết
KH0380,Đỗ Xuân Phong,Thân thiết
KH0430,Doanh nghiệp tư nhân Dịch vụ Thành Đạt,Thân thiết
KH0427,Công ty TNHH Xuất nhập khẩu Việt Thắng,Thường
KH0389,Công ty TNHH MTV Thực phẩm Kim Long,Thân thiết
KH0377,Vũ Bích Hương,Thường
KH0319,Công ty TNHH Dịch vụ Hưng Thịnh,Tiềm năng
KH0262,Doanh nghiệp tư nhân Dịch vụ Minh Phát,Tiềm năng
KH0305,Công ty Cổ phần Thương mại Tân Á,Tiềm năng
KH0113,Công ty TNHH Phân phối Kim Long,VIP
KH0180,Phan Thu Hoa,Thường
KH0275,Vũ Bích Nhung,VIP
KH0368,Công ty TNHH Phân phối Thiên Phú,Tiềm năng
KH0295,Hoàng Đức Khánh,Mới
KH0434,Phan Công Khánh,Mới
