MaKhachHang,TenKhachHang,Vung,LoaiKhach,NgayBatDauGiaoDich,HanMucCongNo
KH0001,Cty CP Dịch vụ Hoàng Gia,Miền Bắc,Sỉ,03/09/2023,821000000.0
KH0002,Công ty TNHH MTV Thực phẩm Hưng Thịnh,Miền Nam,Sỉ,20/04/2023,5958000000.0
KH0003,Lê Xuân Việt,Miền Trung,Lẻ,06/07/2023,18000000.0
KH0004,Công ty Cổ phần Phân phối An Khang,Miền Bắc,Sỉ,21/10/2022,650000000.0
KH0005,Công ty TNHH Xuất nhập khẩu Toàn Cầu,Miền Nam,Sỉ,16/08/2023,200000000.0
,Công ty TNHH MTV Thực phẩm Việt Thắng,Miền Nam,Sỉ,01/02/2024,200000000.0
KH0007,Doanh nghiệp tư nhân Thương mại An Khang,Miền Nam,Sỉ,23/09/2022,200000000.0
KH0008,Doanh nghiệp tư nhân Xuất nhập khẩu Thành Đạt,Miền Nam,Sỉ,23/08/2023,2111000000.0
KH0009,Dương Bích Nga,Miền Trung,Lẻ,10/04/2024,11000000.0
KH0010,Doanh nghiệp tư nhân Thương mại Thiên Phú,Miền Bắc,Sỉ,15/10/2022,1675000000.0
KH0011,Công ty TNHH MTV Xuất nhập khẩu Toàn Cầu,Miền Nam,Sỉ,25/03/2024,200000000.0
KH0012,Công ty Cổ phần Xuất nhập khẩu Kim Long,North,Sỉ,12/03/2023,7852000000.0
KH0013,Công ty TNHH MTV Xuất nhập khẩu Tân Phát,Miền Bắc,Sỉ,03/03/2023,1091000000.0
KH0014,Công ty TNHH Xuất nhập khẩu Hoàng Gia,Miền Nam,Sỉ,08/06/2023,200000000.0
KH0015,Doanh nghiệp tư nhân Phân phối Việt Phát,Miền Nam,Sỉ,06/03/2023,216000000.0
KH0016,Doanh nghiệp tư nhân Xây dựng Thành Đạt,M.Bắc,Sỉ,30/11/2022,481000000.0
KH0017,Lý Văn Bình,Miền Bắc,Lẻ,07/04/2023,13000000.0
KH0018,doanh nghiệp tư nhân xây dựng việt thắng,Bắc,Sỉ,22/07/2024,1071000000.0
KH0019,Lê Xuân Khánh,Miền Trung,Lẻ,12/09/2023,5000000.0
KH0020,Phạm Ngọc Hải,Miền Trung,Lẻ,18/02/2024,5000000.0
KH0021,Doanh nghiệp tư nhân Dịch vụ Toàn Cầu,Miền Trung,Sỉ,18/05/2023,805000000.0
KH0022,Công ty TNHH MTV Thương mại Tân Phát,Miền Bắc,Sỉ,22/11/2023,200000000.0
KH0023,Nguyễn Thị Mai,Miền Trung,Lẻ,27/05/2024,6000000.0
KH0024,Phạm Diễm Anh,Miền Nam,Lẻ,13/06/2023,5000000.0
KH0025,Ngô Công Dũng,Miền Bắc,Lẻ,05/08/2023,5000000.0
KH0026,Cty TNHH Thực phẩm Đại Dương,Miền Trung,Sỉ,24/12/2023,1246000000.0
KH0027,Công ty Cổ phần Xây dựng Tân Phát,Miền Nam,Sỉ,10/11/2022,340000000.0
KH0028,Bùi Công Nam,Miền Nam,Lẻ,25/06/2023,5000000.0
KH0029,công ty tnhh mtv dịch vụ việt phát,Miền Trung,Sỉ,16/08/2023,729000000.0
KH0030,Công ty TNHH Xây dựng Tân Á,Miền Nam,Sỉ,29/09/2023,200000000.0
KH0031,Trần Thu Thảo,Miền Nam,Lẻ,29/02/2024,12000000.0
KH0032,Doanh nghiệp tư nhân Xuất nhập khẩu An Khang,North,Sỉ,29/12/2022,232000000.0
KH0033,Trần Diễm Lan,Miền Nam,Lẻ,26/04/2023,5000000.0
KH0034,Trần Thu Trang,Miền Bắc,Lẻ,22/03/2024,35000000.0
KH0035,Đặng Bích Huyền,Miền Nam,Lẻ,03/10/2023,107000000.0
KH0036,Công ty TNHH Dịch vụ Toàn Cầu,Miền Bắc,Sỉ,05/01/2023,935000000.0
KH0037,Bùi Ngọc An,Miền Nam,Lẻ,05/07/2023,5000000.0
KH0038,Doanh nghiệp tư nhân Xuất nhập khẩu Minh Phát,Miền Trung,Sỉ,25/08/2023,200000000.0
KH0039,Phan Diễm Nhung,Miền Nam,Lẻ,10/04/2023,12000000.0
