MaNhanVien,TenNhanVien,KhuVucPhuTrach,ChucVu,NgayVaoLam
NV-01,Ngô Thu Yến,Miền Nam,Nhân viên Kinh doanh,14/06/2024
NV-02,trần bích nga,Miền Nam,Nhân viên Kinh doanh,2024-04-13
NV-03,Phạm Kim  Huyền,Miền Trung,Senior Sales,10/12/2023
NV04,Võ Quốc Khánh,Miền Trung,Giám sát Kinh doanh,23/03/2024
NV-05,Phan Thị Hoa,Central,Trưởng nhóm Kinh doanh,06/12/2024
NV-06,Võ  Thị Hương,Miền Trung,Trưởng nhóm Kinh doanh,16/08/2023
NV-07,Lê Ngọc Hoa,Miền Trung,Giám sát Kinh doanh,01/12/2022
NV-08,Vũ  Văn Sơn,Miền Bắc,Giám sát Kinh doanh,13/09/2022
NV-09,BUI DIEM NHUNG,Miền Nam,Trưởng nhóm Kinh doanh,17/12/2021
NV10,Võ Bích Linh,Miền Bắc,Trưởng nhóm Kinh doanh,11/05/2023
NV-11,Nguyễn Hữu An,Miền Trung,Giám sát Kinh doanh,07/04/2022
NV-12,Lý Diễm Nhung,Miền Nam,Giám sát Kinh doanh,04/03/2023
NV-13,Lý Thị Nhung,Bắc,,10/04/2022
NV-14,Ngô Thu Phương,Miền Nam,Senior Sales,25/09/2023
NV-15,DO KIM MAI,Miền Bắc,Trưởng nhóm Kinh doanh,26/07/2024
NV-16,Ngô Bích Linh,Miền Trung,Nhân viên Kinh doanh,15/12/2023
NV-17,võ hữu đạt,Bắc,Giám sát Kinh doanh,17/06/2023
NV-18,Hoàng Công Phong,Miền Trung,Senior Sales,05/02/2022
NV-19,Trần Công Phong,Miền Bắc,Trưởng nhóm Kinh doanh,21/01/2023
NV-20,Phan Công Sơn,Miền Bắc,Senior Sales,19/01/2024
NV-21,Bùi Bích Yến,Miền Trung,Nhân viên Kinh doanh,05/04/2022
NV22,Võ Hữu Hải,Miền Bắc,Giám sát Kinh doanh,2022-10-15
NV-23,Bùi Diễm  Nhung,South,Nhân viên Kinh doanh,07/03/2023
NV-24,DO THI HUONG,Miền Trung,Senior Sales,08/12/2023
NV-25,NGO XUAN PHONG,South,Nhân viên Kinh doanh,20/05/2023
NV-26,Huỳnh Bích Thảo,Miền Nam,Nhân viên Kinh doanh,31/07/2022
NV-27,Vũ Thu Phương,MN,Giám sát Kinh doanh,18/12/2022
NV-28,Huỳnh Kim Huyền,HCM,Giám sát Kinh doanh,23/01/2023
NV-29,Bùi  Ngọc Sơn,Miền Nam,Senior Sales,25/12/2023
NV-30,Phạm Ngọc Nga,North,Senior Sales,03/12/2023
