MaKhachHang,TenKhachHang,NhomKH
KH-0014,công ty tnhh xuất nhập khẩu hoàng gia,VIP
KH-0301,Doanh nghiệp tư nhân Thực phẩm Thiên Phú,Tiềm năng
KH-0329,Công ty Cổ phần Phân phối Tân Phát,Mới
KH-0428,Phạm Ngọc An,Thường
KH-0254,LE THU MAI,Thân thiết
KH-0137,DOANH NGHIEP TU NHAN PHAN PHOI DAI DUONG,Thường
KH-0036,Công ty TNHH Dịch vụ Toàn Cầu,Thân thiết
KH-0147,Huỳnh Thu Mai,Thân thiết
KH-0257,Phan Ngọc Phương,Thân thiết
KH-0246,Công ty TNHH Phân phối Hưng Thịnh,VIP
KH-0086,lý công long,VIP
KH-0382,Doanh nghiệp tư nhân Xây dựng Tân Á,Mới
KH-0182,Công ty TNHH MTV Thực phẩm Kim Long,Tiềm năng
KH-0012,Công ty Cổ phần Xuất nhập  khẩu Kim Long,Thân thiết
KH0432,Lý Ngọc Hải,Thân thiết
KH-0312,Ngô Kim Lan,VIP
KH-0395,Võ Xuân Đạt,Thân thiết
KH-0284,VU BICH TRANG,Mới
KH-0359,Lý Thu Hương,Thường
KH-0293,Ngô Thu Hoa,
KH-0205,Công ty TNHH  MTV Xây dựng Hoàng Gia,Thân thiết
KH-0298,Đặng Thị Linh,Tiềm năng
KH-0384,Lê Kim Hương,Tiềm năng
KH-0310,vũ ngọc tuấn,Tiềm năng
KH-0202,Công ty TNHH MTV Xây dựng Đại Dương,Thân thiết
KH-0201,Công ty Cổ phần Thực phẩm Thành Đạt,VIP
KH-0398,Công ty Cổ phần Xây dựng Toàn Cầu,Thường
KH-0160,Cty TNHH Xây dựng Đông Á,Tiềm năng
KH-0149,doanh nghiệp tư nhân thực phẩm việt phát,VIP
KH0417,Công ty TNHH MTV Phân  phối Thiên Phú,Thân thiết
KH0248,Doanh nghiệp tư nhân Xuất nhập khẩu Sao Việt,Thường
KH-0230,DUONG THI LINH,Mới
KH-0155,Doanh nghiệp tư nhân Dịch vụ Việt Phát,
KH-0387,Đỗ Quốc Hùng,VIP
KH-0117,Bùi Kim Yến,Thân thiết
KH-0167,Trần Diễm Anh,Thường
KH-0134,Võ Thu Hoa,Thân thiết
KH-0295,HOANG DUC KHANH,
KH0225,Cty TNHH Thương mại Toàn Cầu,Tiềm năng
KH-0208,TRAN NGOC PHONG,Mới
KH-0125,DOANH NGHIEP TU NHAN XAY DUNG VIET THANG,Thường
KH-0169,công ty tnhh mtv phân phối đại dương,
KH-0408,Công ty TNHH Thương mại Phú Gia,VIP
KH0064,Phạm Quốc An,
KH-0137,DOANH NGHIEP TU NHAN PHAN PHOI DAI DUONG,Thường
KH-0112,LY MINH BINH,Tiềm năng
KH-0261,Đặng Xuân Việt,Thân thiết
KH-0206,Nguyễn Văn Cường,VIP
KH-0204,Công ty TNHH Xây dựng Thành Đạt,Thường
KH-0365,Trần Quốc Hùng,Mới
KH-0273,CONG TY CO PHAN PHAN PHOI HUNG THINH,Thường
KH-0025,Ngô Công Dũng,
KH-0198,Cty CP Xây dựng An Khang,Thường
KH-0338,Lê Văn Sơn,Thân thiết
KH-0250,Phan Minh Phong,
KH-0279,Ngô Văn Khánh,VIP
KH-0073,Lê Quốc Bình,Mới
KH-0316,VO NGOC LAN,Mới
KH-0176,Công ty Cổ phần Xây dựng Đông Á,Tiềm năng
KH-0446,Doanh nghiệp tư nhân Phân  phối Tân Á,Thường
KH-0296,Công ty TNHH Thực phẩm Đại Dương,Thân thiết
KH0425,Vũ Kim Nhung,Thân thiết
